立委姓名,資料準備充分,質詢內容考證嚴謹,提出專業見解,熟悉質詢對象業務與權責,關注公眾利益,關注公平正義或弱勢權益,沒有為行政部門護航,不為強權財團發聲,質詢內容緊扣主題,就主題具體指出問題癥結點,就主題提出具體建議,有要求行政機關後續的改善保證,質詢時間掌握得宜,質詢內容無歧視或人身攻擊言行,質詢內容條理清楚、不矛盾,讓官員有適當的答詢空間
江永昌,3,3,4,3,3,3,4,4,4,3,3,4,4,2,3,3
江永昌,2,3,4,2,2,2,4,5,4,5,4,3,5,4,4,4
江永昌,1,3,5,3,3,2,3,2,3,4,4,3,4,4,3,4
江永昌,2,4,5,3,3,2,3,4,5,5,4,5,2,3,3,3
江永昌,1,3,4,4,2,3,3,3,4,4,4,4,3,3,4,4
江啟臣,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5
江啟臣,2,4,4,4,3,3,4,4,4,4,4,4,4,3,4,3
江啟臣,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5
江啟臣,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4
江啟臣,4,4,4,3,4,4,3,3,4,4,5,5,4,3,4,4
江啟臣,3,4,5,5,5,4,4,5,3,4,3,5,5,5,5,5
江啟臣,3,4,4,3,5,3,4,4,4,4,3,3,4,3,3,4
江啟臣,4,5,5,4,5,5,4,4,4,4,5,5,4,5,4,5
江啟臣,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
江啟臣,3,4,4,4,4,3,5,4,4,4,3,5,4,3,4,4
江啟臣,3,4,4,3,3,4,4,4,4,4,4,3,4,5,3,4
江啟臣,3,3,3,3,4,3,4,2,4,4,3,4,4,5,5,5
江啟臣,4,4,4,4,5,3,4,4,5,4,4,4,4,4,5,5
江啟臣,4,3,3,3,2,2,3,4,4,4,3,3,4,3,3,3
江啟臣,5,5,4,2,4,4,4,4,5,5,4,5,4,4,4,4
江啟臣,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4
江啟臣,4,4,5,3,4,3,4,5,5,5,2,3,5,4,5,4
江啟臣,4,4,5,3,4,3,4,5,5,5,2,3,5,4,5,4
江啟臣,5,5,5,1,4,2,4,5,5,5,5,3,5,4,4,5
江啟臣,5,4,5,4,4,4,4,5,4,4,3,4,4,3,3,5
江啟臣,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5
江啟臣,3,4,2,2,4,4,4,4,4,4,4,4,4,3,3,3
江啟臣,3,4,4,3,3,3,3,3,4,4,3,3,3,2,2,2
江啟臣,4,4,4,4,3,3,4,4,4,2,3,3,4,4,4,4
江啟臣,4,4,4,4,4,4,4,3,4,2,3,3,4,4,3,3
江啟臣,4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,5
江啟臣,4,4,2,2,4,2,4,4,5,5,4,2,4,2,2,2
江啟臣,3,4,4,3,4,4,4,4,3,3,4,4,4,3,3,4
江啟臣,4,3,4,3,4,2,4,3,4,3,3,3,3,3,3,3
江啟臣,5,4,4,3,3,4,4,3,3,3,2,2,5,4,3,3
江啟臣,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3
江啟臣,5,5,5,4,4,4,5,5,5,5,4,5,5,5,4,4
江啟臣,5,4,4,1,3,2,4,4,5,5,3,3,4,4,4,4
江啟臣,2,3,5,5,5,4,5,3,5,5,5,5,5,3,3,3
江啟臣,4,4,5,4,4,3,4,4,3,4,5,4,4,4,5,5
江啟臣,4,4,4,4,4,4,3,5,4,4,3,3,4,5,4,4
江啟臣,4,2,4,3,3,2,3,3,4,4,2,3,3,3,3,3
江啟臣,3,4,4,2,5,3,3,3,3,4,4,4,3,4,5,4
江啟臣,4,5,4,3,5,3,4,4,5,5,3,3,5,4,4,4
江啟臣,3,4,4,4,4,2,4,3,3,3,3,3,3,3,3,4
江啟臣,4,4,4,4,3,3,4,3,4,4,4,3,3,4,3,4
江啟臣,3,4,3,3,3,3,4,3,4,4,4,3,3,4,4,3
江啟臣,4,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3
江啟臣,3,4,4,3,4,3,4,3,4,4,4,4,5,3,4,4
江啟臣,2,5,4,4,2,2,5,5,4,4,3,3,3,3,5,5
江啟臣,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
江啟臣,3,4,3,3,3,4,4,3,3,2,3,4,4,3,4,3
江啟臣,5,2,2,4,2,2,3,2,4,2,3,3,5,3,3,3
江啟臣,4,4,5,2,4,4,3,5,5,5,4,5,3,4,4,4
江啟臣,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4
江啟臣,4,4,4,2,4,3,4,4,5,5,4,4,4,4,4,4
江啟臣,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4
江啟臣,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4
江啟臣,3,4,4,4,5,4,5,5,5,5,5,4,5,4,5,4
江啟臣,4,4,4,5,4,4,4,3,4,4,5,5,4,3,4,3
江啟臣,5,5,3,1,5,5,5,5,5,5,5,5,5,4,4,5
何欣純,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5
何欣純,5,4,4,4,5,4,4,4,4,4,5,5,4,3,4,4
何欣純,3,3,4,4,4,3,3,4,3,4,3,3,3,4,4,4
何欣純,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
何欣純,4,4,4,3,4,4,4,4,5,5,5,5,5,4,4,4
何欣純,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
何欣純,5,3,5,4,3,3,3,4,5,5,3,3,4,3,3,3
何欣純,3,4,4,5,5,5,5,5,5,5,4,5,4,4,3,4
何欣純,4,5,5,3,5,4,5,4,5,5,5,5,4,5,4,5
何欣純,4,5,5,2,4,4,3,3,4,4,3,3,4,4,4,4
何欣純,2,4,3,2,4,4,4,4,5,5,4,4,4,3,3,3
何欣純,2,3,3,3,4,4,4,4,4,5,2,4,5,3,3,4
何欣純,4,5,3,3,4,4,5,5,5,5,4,5,5,4,4,4
何欣純,2,4,2,4,4,4,4,4,5,5,3,3,4,4,4,4
何欣純,4,3,3,2,3,2,3,2,2,2,2,2,2,3,4,3
何欣純,4,4,4,4,4,4,4,4,3,4,3,3,4,3,4,4
何欣純,4,4,4,4,4,3,5,4,3,3,3,4,4,4,4,4
