立委姓名	資料準備充分	質詢內容考證嚴謹	提出專業見解	熟悉質詢對象業務與權責	關注公眾利益	關注公平正義或弱勢權益	沒有為行政部門護航	不為強權財團發聲	質詢內容緊扣主題	就主題具體指出問題癥結點	就主題提出具體建議	有要求行政機關後續的改善保證	質詢時間掌握得宜	質詢內容無歧視或人身攻擊言行	質詢內容條理清楚、不矛盾	讓官員有適當的答詢空間
題目種類	1	1	1	1	2	2	2	2	3	3	3	3	4	4	4	4
吳玉琴		1,0.0,2,0.025,3,0.175,4,0.5,5,0.3	1,0.025,2,0.05,3,0.175,4,0.5,5,0.25	1,0.0,2,0.0,3,0.05,4,0.475,5,0.475	1,0.0,2,0.15,3,0.15,4,0.425,5,0.275	1,0.025,2,0.05,3,0.275,4,0.45,5,0.2	1,0.05,2,0.15,3,0.275,4,0.325,5,0.2	1,0.0,2,0.125,3,0.275,4,0.425,5,0.175	1,0.0,2,0.075,3,0.3,4,0.45,5,0.175	1,0.0,2,0.0,3,0.15,4,0.5,5,0.35	1,0.0,2,0.025,3,0.2,4,0.55,5,0.225	1,0.0,2,0.0,3,0.15,4,0.475,5,0.375	1,0.0,2,0.0,3,0.2,4,0.45,5,0.35	1,0.025,2,0.125,3,0.25,4,0.475,5,0.125	1,0.0,2,0.125,3,0.4,4,0.325,5,0.15	1,0.025,2,0.05,3,0.35,4,0.425,5,0.15	1,0.05,2,0.05,3,0.3,4,0.375,5,0.225
吳志揚		1,0.034,2,0.069,3,0.414,4,0.276,5,0.207	1,0.034,2,0.034,3,0.31,4,0.414,5,0.207	1,0.0,2,0.034,3,0.241,4,0.345,5,0.379	1,0.034,2,0.103,3,0.345,4,0.414,5,0.103	1,0.034,2,0.103,3,0.448,4,0.31,5,0.103	1,0.0,2,0.241,3,0.31,4,0.345,5,0.103	1,0.034,2,0.172,3,0.31,4,0.414,5,0.069	1,0.034,2,0.138,3,0.345,4,0.414,5,0.069	1,0.034,2,0.0,3,0.448,4,0.345,5,0.172	1,0.069,2,0.034,3,0.276,4,0.448,5,0.172	1,0.0,2,0.172,3,0.414,4,0.31,5,0.103	1,0.069,2,0.103,3,0.31,4,0.345,5,0.172	1,0.0,2,0.0,3,0.276,4,0.414,5,0.31	1,0.034,2,0.172,3,0.414,4,0.276,5,0.103	1,0.034,2,0.0,3,0.345,4,0.517,5,0.103	1,0.034,2,0.103,3,0.276,4,0.517,5,0.069
吳秉叡		1,0.045,2,0.134,3,0.224,4,0.403,5,0.194	1,0.0,2,0.06,3,0.209,4,0.537,5,0.194	1,0.015,2,0.09,3,0.164,4,0.493,5,0.239	1,0.0,2,0.045,3,0.403,4,0.433,5,0.119	1,0.015,2,0.045,3,0.209,4,0.552,5,0.179	1,0.045,2,0.104,3,0.299,4,0.448,5,0.104	1,0.015,2,0.075,3,0.209,4,0.493,5,0.209	1,0.0,2,0.075,3,0.134,4,0.537,5,0.254	1,0.0,2,0.0,3,0.299,4,0.433,5,0.269	1,0.0,2,0.03,3,0.313,4,0.388,5,0.269	1,0.03,2,0.045,3,0.343,4,0.388,5,0.194	1,0.0,2,0.06,3,0.239,4,0.478,5,0.224	1,0.0,2,0.075,3,0.239,4,0.478,5,0.209	1,0.0,2,0.134,3,0.224,4,0.522,5,0.119	1,0.0,2,0.075,3,0.224,4,0.582,5,0.119	1,0.0,2,0.015,3,0.254,4,0.537,5,0.194
吳思瑤		1,0.042,2,0.104,3,0.354,4,0.396,5,0.104	1,0.0,2,0.021,3,0.333,4,0.5,5,0.146	1,0.0,2,0.063,3,0.417,4,0.354,5,0.167	1,0.0,2,0.063,3,0.354,4,0.438,5,0.146	1,0.0,2,0.042,3,0.375,4,0.375,5,0.208	1,0.0,2,0.063,3,0.313,4,0.354,5,0.271	1,0.0,2,0.104,3,0.229,4,0.5,5,0.167	1,0.0,2,0.063,3,0.188,4,0.521,5,0.229	1,0.0,2,0.042,3,0.188,4,0.5,5,0.271	1,0.0,2,0.021,3,0.229,4,0.583,5,0.167	1,0.021,2,0.104,3,0.438,4,0.292,5,0.146	1,0.021,2,0.021,3,0.333,4,0.458,5,0.167	1,0.0,2,0.0,3,0.313,4,0.5,5,0.188	1,0.0,2,0.042,3,0.417,4,0.333,5,0.208	1,0.0,2,0.042,3,0.375,4,0.417,5,0.167	1,0.0,2,0.021,3,0.25,4,0.563,5,0.167
吳焜裕		1,0.087,2,0.109,3,0.348,4,0.413,5,0.043	1,0.043,2,0.087,3,0.283,4,0.457,5,0.13	1,0.0,2,0.109,3,0.196,4,0.522,5,0.174	1,0.043,2,0.196,3,0.435,4,0.261,5,0.065	1,0.022,2,0.043,3,0.413,4,0.435,5,0.087	1,0.043,2,0.109,3,0.326,4,0.457,5,0.065	1,0.043,2,0.065,3,0.37,4,0.37,5,0.152	1,0.065,2,0.065,3,0.304,4,0.478,5,0.087	1,0.0,2,0.043,3,0.196,4,0.565,5,0.196	1,0.0,2,0.022,3,0.239,4,0.565,5,0.174	1,0.022,2,0.043,3,0.304,4,0.5,5,0.13	1,0.022,2,0.065,3,0.261,4,0.457,5,0.196	1,0.022,2,0.022,3,0.283,4,0.652,5,0.022	1,0.087,2,0.087,3,0.413,4,0.37,5,0.043	1,0.043,2,0.13,3,0.348,4,0.413,5,0.065	1,0.043,2,0.065,3,0.326,4,0.457,5,0.109
吳琪銘		1,0.0,2,0.0,3,0.2,4,0.6,5,0.2	1,0.0,2,0.0,3,0.4,4,0.5,5,0.1	1,0.0,2,0.0,3,0.2,4,0.3,5,0.5	1,0.0,2,0.0,3,0.4,4,0.5,5,0.1	1,0.0,2,0.0,3,0.3,4,0.6,5,0.1	1,0.0,2,0.0,3,0.2,4,0.5,5,0.3	1,0.0,2,0.0,3,0.4,4,0.3,5,0.3	1,0.0,2,0.0,3,0.4,4,0.2,5,0.4	1,0.0,2,0.0,3,0.3,4,0.4,5,0.3	1,0.0,2,0.0,3,0.3,4,0.5,5,0.2	1,0.0,2,0.0,3,0.3,4,0.3,5,0.4	1,0.0,2,0.1,3,0.1,4,0.3,5,0.5	1,0.0,2,0.0,3,0.3,4,0.5,5,0.2	1,0.0,2,0.1,3,0.2,4,0.4,5,0.3	1,0.0,2,0.0,3,0.2,4,0.7,5,0.1	1,0.0,2,0.0,3,0.2,4,0.6,5,0.2
呂玉玲		1,0.098,2,0.293,3,0.195,4,0.317,5,0.098	1,0.024,2,0.073,3,0.341,4,0.463,5,0.098	1,0.0,2,0.049,3,0.171,4,0.61,5,0.171	1,0.0,2,0.268,3,0.268,4,0.39,5,0.073	1,0.0,2,0.073,3,0.317,4,0.512,5,0.098	1,0.049,2,0.049,3,0.341,4,0.488,5,0.073	1,0.0,2,0.049,3,0.317,4,0.439,5,0.195	1,0.0,2,0.049,3,0.22,4,0.537,5,0.195	1,0.0,2,0.0,3,0.171,4,0.585,5,0.244	1,0.0,2,0.024,3,0.146,4,0.61,5,0.22	1,0.0,2,0.049,3,0.341,4,0.463,5,0.146	1,0.0,2,0.0,3,0.22,4,0.61,5,0.171	1,0.024,2,0.073,3,0.244,4,0.488,5,0.171	1,0.049,2,0.049,3,0.415,4,0.366,5,0.122	1,0.0,2,0.098,3,0.22,4,0.561,5,0.122	1,0.0,2,0.073,3,0.171,4,0.561,5,0.195
呂孫綾		1,0.0,2,0.041,3,0.143,4,0.388,5,0.429	1,0.0,2,0.041,3,0.265,4,0.49,5,0.204	1,0.0,2,0.0,3,0.061,4,0.51,5,0.429	1,0.0,2,0.163,3,0.286,4,0.327,5,0.224	1,0.02,2,0.041,3,0.327,4,0.429,5,0.184	1,0.02,2,0.102,3,0.327,4,0.449,5,0.102	1,0.0,2,0.102,3,0.347,4,0.286,5,0.265	1,0.0,2,0.061,3,0.286,4,0.388,5,0.265	1,0.0,2,0.0,3,0.184,4,0.551,5,0.265	1,0.0,2,0.0,3,0.265,4,0.49,5,0.245	1,0.0,2,0.02,3,0.429,4,0.449,5,0.102	1,0.0,2,0.0,3,0.265,4,0.571,5,0.163	1,0.0,2,0.061,3,0.245,4,0.551,5,0.143	1,0.0,2,0.163,3,0.449,4,0.265,5,0.122	1,0.0,2,0.061,3,0.286,4,0.51,5,0.143	1,0.0,2,0.102,3,0.184,4,0.449,5,0.265
李昆澤		1,0.0,2,0.154,3,0.231,4,0.462,5,0.154	1,0.0,2,0.0,3,0.154,4,0.692,5,0.154	1,0.0,2,0.0,3,0.231,4,0.308,5,0.462	1,0.077,2,0.154,3,0.308,4,0.462,5,0.0	1,0.077,2,0.154,3,0.0,4,0.538,5,0.231	1,0.0,2,0.154,3,0.077,4,0.615,5,0.154	1,0.0,2,0.0,3,0.154,4,0.692,5,0.154	1,0.0,2,0.0,3,0.154,4,0.538,5,0.308	1,0.0,2,0.0,3,0.231,4,0.538,5,0.231	1,0.0,2,0.077,3,0.077,4,0.692,5,0.154	1,0.0,2,0.154,3,0.385,4,0.385,5,0.077	1,0.0,2,0.154,3,0.154,4,0.615,5,0.077	1,0.0,2,0.0,3,0.231,4,0.385,5,0.385	1,0.0,2,0.154,3,0.308,4,0.462,5,0.077	1,0.0,2,0.077,3,0.077,4,0.538,5,0.308	1,0.0,2,0.077,3,0.077,4,0.538,5,0.308
李俊俋		1,0.082,2,0.164,3,0.393,4,0.295,5,0.066	1,0.0,2,0.066,3,0.279,4,0.426,5,0.23	1,0.0,2,0.049,3,0.098,4,0.607,5,0.246	1,0.0,2,0.082,3,0.328,4,0.459,5,0.131	1,0.016,2,0.049,3,0.328,4,0.426,5,0.18	1,0.016,2,0.033,3,0.443,4,0.377,5,0.131	1,0.0,2,0.0,3,0.23,4,0.475,5,0.295	1,0.0,2,0.016,3,0.262,4,0.492,5,0.23	1,0.0,2,0.0,3,0.197,4,0.459,5,0.344	1,0.0,2,0.0,3,0.131,4,0.574,5,0.295	1,0.016,2,0.033,3,0.426,4,0.443,5,0.082	1,0.016,2,0.0,3,0.361,4,0.492,5,0.131	1,0.0,2,0.033,3,0.246,4,0.557,5,0.164	1,0.016,2,0.049,3,0.41,4,0.393,5,0.131	1,0.0,2,0.016,3,0.295,4,0.59,5,0.098	1,0.0,2,0.0,3,0.246,4,0.492,5,0.262
